video_name,original_lang,translated_to,length,meh_moments,whisper_size,split_sentences
MinecraftSpanish,english,spanish,50,2,small,0
MinecraftSpanish,english,russian,120,16,medium,1
ListeningEnglish,english,spanish,120,8,medium,1
MinutePhysicsRussian,russian,english,121,5,medium,1
PlanningRussian,russian,spanish,270,18,medium,1
PlanningRussian,russian,english,270,12,medium,1
ParkinsonRussian,russian,english,197,9,medium,1
ParkinsonRussian,russian,spanish,197,6,medium,1
MinutePhysicsEnglish1,english,spanish,247,11,medium,1
MinutePhysicsEnglish2,english,russian,80,15,medium,1
MinutePhysicsEnglish2,english,spanish,176,8,medium,1
MinutePhysicsEnglish2,english,spanish,149,9,medium,1
MinutePhysicsEnglish2,english,russian,174,21,medium,1
StoriesSpanish,spanish,russian,103,13,large,1
StoriesSpanish,spanish,english,135,5,medium,1
SpeechTipsSpanish,spanish,english,120,7,medium,1
SpeechTipsSpanish,spanish,russian,120,12,medium,1
MarquezSpanish,spanish,russian,157,11,large,1
MarquezSpanish,spanish,english,166,5,medium,1
